Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
Regus Paris - Foch	Immeuble prestigieux à proximité immédiate de l'avenue Foch et de la Place de l'Etoile. Nos surfaces se trouvent dans les 2 étages élevés et bénéficient d'une belle luminosité dans cet immeuble d'angle, entièrement rénové en 2013.	6 Rue Duret, 75016 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8423/centre-d-affaires-paris-regus-paris-foch	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
WeWork Lafayette Bis	2 Bureaux	20, bis rue La Fayette, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7267/coworking-paris-wework-lafayette-bis	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	24h/24	Coworking		101	Oui	Oui	
Regus Paris - 75 Bd Haussman	A quelques minutes de la Gare St Lazare, cet immeuble élégant offre un aspect typiquement parisien et bénéficie d'une très belle terrasse au dernier étage.	75 Boulevard Haussman , 75006 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8389/centre-d-affaires-paris-regus-paris-75-bd-haussman	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
WeWork Haussmann (ouverture septembre 2020)	2 Bureaux	104 bld Haussman, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7589/centre-d-affaires-paris-wework-haussmann-ouverture-septembre-2020	Internet haut débit//Une personne à l'accueil	8h00 - 18h00	Centre d'affaires		101	Non	Oui	
Kwerk Saint Honoré	Saint HonoréCe nouvel espace de 6500 m2, dont 1100m2 d’espaces verts et terrasses, accueillera plus de 700 membres permanents bureaux et 100 membres séminaires d’un jour.	18 Rue de Courcelles , 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8707/centre-d-affaires-paris-kwerk-saint-honore	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	8h00 - 18h00	Centre d'affaires		1	Non	Oui	
Regus Grenoble - Seyssinet	Colonnes imposantes. Angles aigus. Courbes élégantes. Notre centre d’affaires Grenoble Seyssinet-Pariset se caractérise par son architecture originale et son écrin de verdure. Loin de l’agitation du centre-ville, il vous offre un cadre de travail propice à la concentration à seulement 20 minutes de Grenoble par la rocade Ouest.	18, Rue de la Tuilerie, Pariset, 38176 Grenoble	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8303/centre-d-affaires-grenoble-regus-grenoble-seyssinet	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
Deskeo Haussmann	2 Bureaux	93 Boulevard Haussmann, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7499/centre-d-affaires-paris-deskeo-haussmann	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires	1000	101	Non	Oui	
Atelier d'Initiatives Urbaines	Bienvenue à l'Atelier d'Initiatives Urbaines, espace de travail dédié aux professionnels de la ville pour imaginer, tester et déployer collectivement des solutions nouvelles répondant aux défis des villes du 21ème siècle ! Pour quoi faire ? - Mener vos activités dans un espace de travail fonctionnel, chaleureux et inspirant - Croiser les regards au quotidien et collaborer ponctuellement à des commandes et projets en initiative sur des thématiques urbaines (logement, mobilité, agriculture urbaine, etc.) Pour qui ? Indépendants, TPE, start-ups ... de tous les horizons (développeurs, designers, ingénieurs, chercheurs, architectes, data-scientists, artistes...)	40 rue Laffitte, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7449/coworking-paris-atelier-d-initiatives-urbaines	Internet haut débit//Accès handicapé//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 19h00	Coworking	213	132	Non	Oui	Table de réunion//Box de confidentialité//Casier//Imprimante//Scanner//Tv//Tableaux//Vidéo-projecteur//Écran//Équipement de cuisine//Bibliothèque
Start-Way Paris Grande Armée	Bel espace de 1400m2 à proximité immédiate du metro Argentine (entre la Porte Maillot et le rond-point des Champs Elysées) proposant une diversité de services et un écosystème : Bureaux fermés à la journéeBureaux fermés au moisBureaux partagésSalles de réunionCreative roomCuisineSalle de sportSauna par infrathérapieMobilier 100% artisanal made in France	22-24 rue Chalgrin, 75016 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5975/coworking-paris-start-way-paris-grande-armee	Internet haut débit//Espace pause//Cuisine//Climatisation	8h00 - 18h00	Coworking	1400	349	Non	Oui	Box de confidentialité//Tv//Equipement de cuisine, mug, tasse//Café 5€/unité//Pause goûter 6€/unité//Pause petit dejeuner 6€/unité//Casier 5€/journée 10€/mois//Impression et copie 0.08€/unité//Micro et enceinte 50€/journée//Parking 220€/mois//Douche et vestiaire 5€/unité 20€/mois//Domiciliation 65€/mois//Salle de formation 400€/journée 1000€/journée 300€/journée//Espace fitness 10€/unité
KWERK HAUSSMANN	Entièrement dédié à la nature, cet espace de 4200 m2 répartis sur 9 étages au cœur du 8e arrondissement bénéficie d’un toit-terrasse à la vue époustouflante sur Paris. Son lobby plonge les membres au cœur d’une bibliothèque végétale riche de 342 variétés de plantes sous une verrière architecturée. Tout est fait pour inclure.Le centre de bien-être Kwerk Well , accessible à tous, se compose d'une salle de fitness, d'un studio où sont proposés des cours de yoga, méditation , arts martiaux, renforcement musculaire..., des douches et des casiers.De nombreux évènements sont organisés – Masterclass, Quirky Talks, Apéro - qui créent un environnement naturellement favorable aux rencontres, à l’émulation et au partage. L'espace se situe dans le 8ème arrondissement de Paris , à 5 minutes des métros Miromesnil , St Augustin et Villiers.Si vous êtes entrepreneur, freelance, innovateur, une PME ou une start-up, rejoignez-nous bien à l'Ouest !	29-31 rue de Courcelles, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6353/coworking-paris-kwerk-haussmann	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 0h	Coworking	4200	169	Non	Oui	Boissons à volonté//Petit déjeuner déconnexion//Déjeuner déconnexion//Gouter déconnexion//Post-it, stylos//Paperboards//Écran tactile//Écran//Cours de mind
Regus Paris Arc de Triomphe	Situé à 50 mètres de la Place de l'Etoile, cet immeuble moderne, collé à un prestigieux hôtel particulier, offre de très belles prestations sur une des plus belles avenues de la capitale, qui accueille déjà de nombreux sièges de multinationales. Nombreuses salles de réunion, gardiennage et parking en sous-sol. A 5 minutes, le Parc Monceau offre un espace de verdure très apprécié des utilisateurs. Pour toute demande de domiciliation (bureaux), vous pouvez vous rendre ici => https://www.regus.fr/virtual-office	54/56, avenue Hoche, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/395/centre-d-affaires-paris-regus-paris-arc-de-triomphe	Internet haut débit	9h00 - 18h00	Centre d'affaires		222	Non	Oui	Espace confidentiel//Rangements sécurisés//Mise à disposition d'ordinateur//Accueil dédié//Secrétariat//Conciergerie//La pause café 3€/unité//La pause macaron 6€/unité//Le petit déjeuner 5.5€/unité//La pause boisson 4.5€/unité
WeWork Lafayette	À l'écart des grands boulevards et à quelques rues de la gare Saint-Lazare et de l'opéra Garnier, les bureaux WeWork La Fayette sont installés dans un immeuble Art déco disposant d'un hall central avec verrière et de nombreuses terrasses. Idéalement situé, ce bâtiment offre une vue imprenable sur Pigalle et le quartier Saint-Georges.	33 Rue la Fayette, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6745/coworking-paris-wework-lafayette	Internet haut débit//Une personne à l'accueil//Espace pause	9h00 - 18h00	Coworking		104	Non	Oui	
Baya Axess Etoile - Wagram	L'espace de Coworking by BAYA Etoile-Wagram vous accueille dans un immeuble contemporain de 1 900 m², au pied de de l'Arc de Triomphe et vu sur la Tour Eiffel. Il est équipé de trois salles de réunion pouvant accueillir jusqu'à 24 personnes en U et 50 personnes en théâtre, d'une terrasse et d'une cuisine.	15 rue Beaujon, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3239/centre-d-affaires-paris-baya-axess-etoile-wagram	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace extérieur//Cuisine//Climatisation	8h30 - 23h00	Centre d'affaires		208	Non	Oui	Téléphones fixe//Café nespresso 1€/unité//Eau 1.2€/unité//Jus de fruits 1.4€/unité//Pause opéra 5.9€/unité//Pause tenor 8.9€/unité//Nespresso 0.67€/unité
Spaces Etoile	Portez votre entreprise vers de nouveaux sommets en l’installant à Spaces Paris Étoile, avec sa vue imprenable sur l'Arc de Triomphe. Vous êtes idéalement situé à proximité de la Place Charles-de-Gaulle, appelée « Place de l’Étoile », en raison des 12 avenues qui en partent. Vous y découvrirez une communauté professionnelle inspirante et dynamique qui vous remplira d'énergie. Que vous cherchiez des bureaux privés, partagés ou virtuels à Paris, ou que vous souhaitiez louer une salle de réunion, vous trouverez ici l’espace flexible dont vous avez besoin.	54/56 avenue Hoche , 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8717/centre-d-affaires-paris-spaces-etoile	Internet haut débit//Espace extérieur	9h00 - 18h00	Centre d'affaires		1	Non	Oui	
Regus Grenoble City	Au cœur de Grenoble. Alliant histoire, charme à la française et innovation, notre centre de Grenoble est à l’image de cette ville dynamique. Il occupe un quartier où se côtoient des sociétés spécialisées dans l’informatique et le conseil, et des commerces traditionnels. Avec sa gare située de l’autre côté de la rue et ses nombreux restaurants, bars et cafés à quelques minutes à pied, il vous offre une base pratique au pied des Alpes.	155-157, cours Berriat, 38001 Grenoble	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8299/centre-d-affaires-grenoble-regus-grenoble-city	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
Regus Paris - Friedland	Situé au cœur du complexe immobilier Etoile-St Honoré, idéalement placé entre l'avenue Hoche, l'avenue de Friedland et la rue du Fbg St Honoré, ce site dispose de nombreux services : parkings public et privé, espace de conférences, restaurants. Il accueille de nombreux utilisateurs dans les secteurs du recrutement, de la finance, du droit et de l'assurance.	23 Rue Balzac, 75004 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8393/centre-d-affaires-paris-regus-paris-friedland	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
Together coworking	Au cœur de Paris cet espace de 600 m2 conserve l'âme et l'héritage de son ancienne vie: un atelier de confection.Notre lieu est conçu de manière à offrir des espaces de travail adaptés à différents secteurs d’activités évoluant au gré des besoins de notre communauté.Il est constitué de:- Bureaux fermés- Open space- Salles de réunions.- Salle de conférence.- Espace de prototypage (Fablab)- Studio photo / vidéo- Salle de conception informatique (CAO).- Espace de réception / showroom éphémère	12 Rue Martel , 75010 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8777/coworking-paris-together-coworking	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 0h	Coworking		 600 m2	Oui	Oui	
Start-Way Porte Maillot Grande Armée	Sur environ 3 000m2, l’espace de coworking développera des services à destination des entreprises avec de nombreux espaces de réunion et événementiel particulièrement innovants. Des groupes jusqu’à 100 personnes pourront utiliser ces espaces de réunion d’un nouveau genre avec accès à un rooftop donnat sur la Tour Eiffel et l’Arc de Triomphe. Un groupe d’experts reconnus appartenant à l’écosystème Startway ont participé à la réalisation de ces espaces. Le contenu de ces innovations sera présenté lors de l’ouverture officielle de l’espace de coworking Paris Grande Armée Porte Maillot.Des solutions de location de bureaux partagés et privatifs jusqu’à 250 personnes.Enfin, grands groupes, startups, travailleurs indépendants et nomades bénéficieront de solutions immobilières flexibles de qualité telles que la location de bureaux partagés et privatifs jusqu’à 250 personnes.	58-60 avenue de la Grande Armée, 75017 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8363/coworking-paris-start-way-porte-maillot-grande-armee	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Coworking	2800	20	Non	Oui	Phone box//Forfait impression//Scan to mail//Paper board//Ecrande projection//Équipement de cuisine//Matériel de sonorisation 150€/unité//Parking 250€/unité//Telephone voip avec forfait illimité vers fixes et 60€/unité
Patchwork Grande-Armée	Au centre du 16 ème arrondissement de Paris, notre coworking est à deux pas de l'Avenue de la Grande Armée, l'Arc de Triomphe, ainsi que la place Porte Maillot. Café colombien, thé et eau fruitée sont à votre disposition dans notre cuisine ouverte, près de notre open space. Design et cosy, vous trouverez votre confort au sein de nos espaces.	10 rue pergolèse, 75116 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5631/coworking-paris-patchwork-grande-armee	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 19h00	Coworking	500	227	Non	Oui	Ordinateur intégré//Tv//Visio-conférence//Ecran//Equipement de cuisine//Accueil dédié//Conciergerie//Gestion du courrier//Privatisation//Déjeuner 26€/unité//Panier de fruits 23€/unité//Pause gourmande 10€/unité//Petit-déjeuner 10€/unité//Imprimante 40€/mois//Scanner 40€/mois//Domiciliation 100€/mois
MOZAIK Coworking rue Bleue	Jolie salle de réunion pour 6 personnes au métro Cadet !	9 rue bleue, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/2335/coworking-paris-mozaik-coworking-rue-bleue	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 18h00	Coworking	120	30	Non	Oui	Rangements sécurisés//Impression / copie
Bonnie&Smile	Bonnie & Smile est un espace de travail partagé, particulièrement à l’écoute des besoins des PME et des femmes, quels que soient leur métier, leur génération, leur origine professionnelle ou culturelle. Constitué de bureaux, de salles de réunion et de créativité/formation et de quelques postes de coworking, Bonnie & Smile est aussi un lieu d’inclusion et de lien avec la ville, un « milieu » qui valorise et accompagne les entrepreneur(e)s dans leur vie pro/perso et dans la transformation de leurs modes de collaboration avec une offre orienté vers l'accompagnement à travers des ateliers, coachings, formations,...Le premier espace Bonnie & Smile est situé dans le 16° arrondissement de Paris, non loin de l’Etoile, à deux pas du Palais des Congrès, de la Porte Maillot et du RER C.	152, avenue de Malakoff, 75016 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7219/coworking-paris-bonnie-smile	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 19h00	Coworking	600	203	Non	Oui	Table de réunion//Box de confidentialité//Matériel de sonorisation//Périphériques informatiques//Scanner//Tableaux//Vidéo-projecteur//Équipement de cuisine//Accueil dédié//Mise en place de la salle//Softs 3€/unité//Petit déjeuner continental 4€/unité//Placard 50€/mois//Visio-conférence 50€/heure
KWERK BIENFAISANCE	L'espace de 2200 m2 a été pensé et dessiné pour rendre le travail fluide, créatif et collaboratif. L'alternance de bureaux privatifs, de larges espaces communs et de recoins confidentiels créent un environnement de travail chaleureux et effervescent, à mi-chemin entre le lobby d'un boutique-hôtel et la war room d'une start-up. L'espace propose 71 bureaux privatifs (de 1 à 8 personnes), 32 desks en open space et de vastes espaces à la disposition de tous: un lobby (pouvant recevoir 40 personnes), cinq petits salons, un bistrot, deux terrasses et un jardin . Le centre de bien-être Kwerk Well , accessible à tous, se compose d'une salle de fitness ( 9machines instruments de pilates) , d'un studio où sont proposés des cours de yoga, méditation , arts martiaux, renforcement musculaire..., quatre douches et des casiers.Les services proposés sont : Internet (fibre optique très haut débit),cinq salles de réunion équipées d'écran-plat, une salle de conférence et d'évènement pouvant accueillir jusqu'à 50 personnes, cinq imprimantes en réseau HD, café, thé et eau chaude, l'accès du lundi au vendredi de 9h à 18h sécurisé avec badge électronique, le ménage quotidien. De nombreux évènements sont organisés – Masterclass, Quirky Talks, Apéro - qui créent un environnement naturellement favorable aux rencontres, à l’émulation et au partage. L'espace se situe dans le 8ème arrondissement de Paris , à 5 minutes des métros Miromesnil , St Augustin et VilliersSi vous êtes entrepreneur, freelance, innovateur, une PME ou une start-up, rejoignez-nous bien à l'Ouest !	44-46 Rue de la Bienfaisance, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4512/coworking-paris-kwerk-bienfaisance	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 23h00	Coworking	2200	291	Non	Oui	Déjeuner déconnexion//Petit déjeuner déconnexion//Goûter déconnexion//Post-it, stylos//Paperboards//Écran//Cours de mind
MULTIBURO GARE SAINT LAZARE	Bienvenue chez Multiburo Gare St-Lazare, le 1er et seul espace de travail de la première gare parisienne !Pour coworker, avoir son propre bureau, organiser sa réunion, ne serait-ce qu'une heure ou pour toute l'année.Situé sur les niveaux 2 et 3, nous offrons des espaces de bureaux et réunions lumineux, plein de charme et atypique, dans un design coloré et street art avec une vue magnifique sur les toits de la gare gare et sur quelques uns des plus beaux quartiers de Paris.	Parvis de la Gare, 1 Cour du Havre, 75008 PARIS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6845/centre-d-affaires-paris-multiburo-gare-saint-lazare	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	2200	262	Non	Oui	Pause boissons 4.5€/unité//Pause permanente 15€/unité//Formule petit déjeuner : pause viennoiseries 7€/unité//Formule petit déjeuner : pause biscuits 6€/unité
Deskeo Clavel	Plateau privatif	15 rue Clavel, 75019 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8739/coworking-paris-deskeo-clavel	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Coworking		30	Non	Oui	
Puzzle coWorking	Au-delà du simple partage d’un lieu de travail, Puzzle coWorking se veut être un espace de rencontres où les personnes échangent, collaborent, se créent une ambiance de travail, viennent faire partie d’une communauté… et créent de la valeur.Nous disposons : - d'un espace Nomade, pour les personnes de passage souhaitant découvrir l'espace et profiter d'un lieu convivial pour travailler quelques heures,- d'un espace Résident, pour les personnes souhaitant se trouver un nouvel espace de travail hors bureau ou maison,- 2 salles de réunion, pouvant accueillir jusqu'à une douzaine de personnes.	3, place du Ratrait, 92150 Suresnes	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3255/coworking-suresnes-puzzle-coworking	Internet haut débit//Accès handicapé//Une personne à l'accueil	9h00 - 23h00	Coworking		35	Non	Oui	Rangements sécurisés//Impression / copie//Téléphones fixe//Boissons (café, thé, eau) 1€/unité//Plateau repas 17€/unité//Café / thé 1€/unité//Casier 10€/unité//Carte reprographie 5€/unité//Téléphone 30€/mois//Ecran supplémentaire 4€/unité//Domiciliation 35€/unité
Deskeo Estiennes d'Orves	Cet immeuble haussmannien dispose d'une très belle luminosité. En effet, il bénéficie d'une exposition dégagée, juste en face de l'église de la Trinité. Au troisième étage de cet immeuble de standing, un plateau de bureaux 100% privatif d'une surface de 400 m2 peut accueillir une entreprise d'une cinquantaine de salariés.	1 Place Estiennes d'Orves, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8731/coworking-paris-deskeo-estiennes-d-orves	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Coworking		50	Non	Oui	
Coworking Fabernovel	Le coworking space de Fabernovel est situé au RDC de nos bureaux à Trinité d'Estienne D'Orves, dans un immeuble Art Déco récemment rénové. Tout a été pensé pour qu'il soit agréable d'y travailler. Notre société spécialisée dans le conseil en transformation et la création de services / produits numériques réunit 400 talents, jeunes, dynamiques et sympa ! Le coworking accueille 24 postes (3 bench de 8 postes) dans un open space lumineux donnant sur un patio.L'environnement est idéal pour les freelances ou startups. - Cafet (fontaine à eau, machine à café, micro-ondes, lave vaisselle)- 3 salles de réunion (sur réservation)- Salle de jeux- Bibliothèque- Terrasses	46 rue Saint-Lazare, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8143/coworking-paris-coworking-fabernovel	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	8h00 - 20h00	Coworking	300	2	Non	Oui	Café/thé//Imprimante//Micro-ondes
Morning Coworking Monceau	Chuuut… Personne ne doit savoir ce qu’il se passe ici. A deux pas du parc Monceau, rien ne laisse deviner les quatre étages design et chaleureux qui se cachent derrière la porte de Morning Coworking – Monceau. Et encore moins la terrasse panoramique et le Morning Coffee au dernier étage.Pousse la porte et viens coworker.	10 rue Treilhard, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6743/coworking-paris-morning-coworking-monceau	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	24h/24	Coworking		106	Oui	Oui	
Patchwork Saint-Lazare	Il fallait un immeuble hors du commun pour un emplacement aussi exceptionnel ! À 20 mètres de l’entrée de la Gare Saint Lazare, installez vous dans un immeuble haussmannien avec parquet, moulures et verrière !	3 rue de stockholm, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8145/coworking-paris-patchwork-saint-lazare	Internet haut débit//Une personne à l'accueil//Espace pause//Climatisation	9h00 - 18h00	Coworking	2500	179	Non	Oui	Imprimante//Scanner//Tv//Écran//Cuisine//Space manager//Accueil dédié//Déjeuner 26€/unité//Pause gourmande 10€/unité//Petit déjeuner 10€/unité//Domiciliation 39€/unité//Gestion du courrier 99€/unité//Mise en place format théâtre 50€/unité
Spaces Saint lazare	Situé rue de Londres, Spaces Saint Lazare vous accueille au cœur d’un des quartiers d’affaires les plus demandés de Paris à proximité immédiate de la Gare Saint Lazare. Spaces Saint Lazare occupe un bâtiment entier en face de la sortie ‘Rue de Londres’ de la gare. Récemment rénové pour un meilleur respect de l’environnement, l’immeuble offre des espaces de travail flexibles d’une conception moderne – plusieurs plateaux de coworking, des espaces de loisirs, des bureaux privés, des salles de réunions atypiques, des terrasses avec vue sur la Tour Eiffel et sur l’Ouest de Paris.Spaces Saint Lazare est plus qu’un espace de travail, c’est un cadre de vie inspirant et une communauté avec une programmation hebdomadaire de conférences et d’événements facilitant le réseautage pour les membres.	Rue de Londres , 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8721/centre-d-affaires-paris-spaces-saint-lazare	Internet haut débit//Espace pause//Espace extérieur//Climatisation	9h00 - 18h00	Centre d'affaires		1	Non	Oui	
WeWork Pereire	2 Bureaux	255 bld Pereire, 75017 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7577/centre-d-affaires-paris-wework-pereire	Internet haut débit//Une personne à l'accueil	8h00 - 18h00	Centre d'affaires		126	Non	Oui	
Regus Paris - Saint Lazare	"Cet élégant hôtel particulier de style ""art déco"" s'organise autour d'un magnifique patio intérieur arboré, couvert par une verriére conférant un caractère original et chaleureux au batiment. Ce très bel immeuble indépendant de 6 étage, au coeur de Paris a été entièrement rénové et climatisé, afin de vous proposer des prestations de qualité et répondre à tous vos besoins en espaces de travail. Pour toute demande de domiciliation (bureaux), vous pouvez vous rendre ici => https://www.regus.fr/virtual-office"	28 rue de Londres, 75009 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/415/centre-d-affaires-paris-regus-paris-saint-lazare	Internet haut débit	9h00 - 18h00	Centre d'affaires		183	Non	Oui	Espace confidentiel//Rangements sécurisés//Mise à disposition d'ordinateur//Accueil dédié//Secrétariat//Conciergerie//La pause café 3€/unité//La pause macaron 6€/unité//Le petit déjeuner 5.5€/unité//La pause boisson 4.5€/unité
			https://www.neo-nomade.com/mb-47-bnpp_re/espace/5883/coworking-paris-wojo-saint-lazare						Oui	Oui	
WeWork Les Ternes	Entouré de grandes entreprises et de certaines des meilleures boutiques de Paris, notre espace de coworking du quartier des Ternes jouit d'un l'emplacement idéal. WeWork occupe les cinq étages du bâtiment qui est équipé de salons décorés d'œuvres d'art, de spacieuses salles de conférence et de bureaux privés élégants. Accédez-y facilement via la ligne 1 du métro et la ligne C du RER, toutes deux situées à quelques minutes à pied. Les lignes de bus PC1, PC3 et 82 sont également proches. Après votre journée de travail, emmenez votre équipe dîner dans l'un des nombreux restaurants du quartier ou impressionnez vos clients en assistant à un concert au Palais des Congrès.	255 BOULEVARD PEREIRE , 75017 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7547/centre-d-affaires-paris-wework-les-ternes	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		102	Non	Oui	
Baya Axess Lafayette	Situé entre deux gares, le centre d’affaires Baya Axess LaFayette vous offre flexibilité et praticité dans un emplacement stratégique de Paris. Vous pourrez disposer d’un bureau ou d’une salle de réunion, à deux pas des gares du nord et de l’est, pour accueillir, réunir et rencontrer vos partenaires professionnels.	20/22 Rue des Petits Hôtels , 75010 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7405/centre-d-affaires-paris-baya-axess-lafayette	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		180	Non	Oui	Wifi//Paperboard//Video-projecteur//Ecran de projection//Pause tenor 8.9€/unité//Pause opéra 8.9€/unité//Sonorisation + 2 micro hp 249€/unité//Pc portable 350€/unité
WeWork Wagram	WeWork est un réseau mondial d'espaces de travail où les entreprises grandissent ensemble. Ce bâtiment, idéalement situé, propose des espaces de travail et bureaux répartis sur plusieurs étages afin de répondre à tous vos besoins présents et futurs. Nos espaces sont conçus dans le but de favoriser la productivité, que vous soyez seul ou entouré d'une équipe de 100 personnes. De plus, nos tarifs sans engagement vous accordent la flexibilité qui vous convient. Profitez également d'une tarification tout compris pour vous faciliter la vie. Beaucoup d'espaces de travail possèdent un espace lounge, mais aucun ne peut égaler notre design intérieur unique. Votre ancien bureau disposait peut-être d'une cafetière, mais nous vous proposons du café torréfié et de l'eau fruitée. Nous nous sommes occupés de tous les détails pour que vous puissiez vous concentrer sur votre activité. Outre nos bureaux, nos services et nos collaborateurs à votre disposition, vous pouvez également compter sur une communauté composée d'entrepreneurs innovants et profiter d'événements organisés sur place pour rencontrer d'autres créateurs.	67 AVENUE DE WAGRAM , 75017 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7537/centre-d-affaires-paris-wework-wagram	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		1	Non	Oui	
WeWork Madrid (ouverture novembre 2020)	2 Bureaux	7 rue de Madrid, 75008 Paris	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7587/centre-d-affaires-paris-wework-madrid-ouverture-novembre-2020	Internet haut débit//Une personne à l'accueil	8h00 - 18h00	Centre d'affaires		101	Non	Oui	
